,Match_ID,Season,Team_1,Team_2,Toss_Winner,Toss_Decision,Venue,City,Result,Winner,Win_Margin,Win_Type,Player_Of_Match
298,88866,2018-19,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Bowling,Adelaide Oval,Adelaide,True,Brisbane Heat,6,wickets,MT Renshaw
299,88867,2018-19,Perth Scorchers,Melbourne Stars,Melbourne Stars,Bowling,Perth Stadium,Perth,True,Perth Scorchers,27,runs,AJ Turner
300,88868,2018-19,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Bowling,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,16,runs,MS Wade
301,88869,2018-19,Melbourne Stars,Brisbane Heat,Brisbane Heat,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,10,wickets,BCJ Cutting
302,88870,2018-19,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,5,wickets,JW Wells
303,88871,2018-19,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,Bowling,"Manuka Oval, Canberra",Canberra,True,Sydney Thunder,4,wickets,PJ Cummins
304,88872,2018-19,Melbourne Stars,Sydney Sixers,Sydney Sixers,Bowling,Melbourne Cricket Ground,Melbourne,True,Melbourne Stars,94,runs,GJ Maxwell
305,88873,2018-19,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Bowling,"Bellerive Oval, Hobart",Hobart,True,Melbourne Stars,6,wickets,DJ Worrall
306,88874,2018-19,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,3,wickets,DT Christian
307,88875,2018-19,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,13,runs,DT Christian
308,93820,2019-20,Sydney Thunder,Brisbane Heat,Sydney Thunder,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Sydney Thunder,29,runs,CJ Ferguson
309,93821,2019-20,Perth Scorchers,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,8,wickets,JR Philippe
310,93822,2019-20,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Batting,"Simonds Stadium, South Geelong, Victoria",Geelong,True,Sydney Thunder,6,wickets,AD Hales
311,93823,2019-20,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Batting,"Traeger Park, Alice Springs",Alice Springs,True,Hobart Hurricanes,25,runs,Qais Ahmad
312,93824,2019-20,Melbourne Stars,Brisbane Heat,Brisbane Heat,Bowling,Carrara Oval,Carrara,True,Melbourne Stars,22,runs,GJ Maxwell
313,93825,2019-20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,Bowling,"Manuka Oval, Canberra",Canberra,False,,0,,
314,93826,2019-20,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Bowling,Perth Stadium,Perth,True,Perth Scorchers,11,runs,MR Marsh
